week,unique_identifier,start_day,start_month,end_day,end_month,parish_name,count_type,count,year
22,1669-22-recto,18,May,25,May,St Clement Eastcheap,Plague,,1669
22,1669-22-recto,18,May,25,May,St Dionis Backchurch,Buried,,1669
22,1669-22-recto,18,May,25,May,St Dionis Backchurch,Plague,,1669
22,1669-22-recto,18,May,25,May,St Dunstan East,Buried,3,1669
22,1669-22-recto,18,May,25,May,St Dunstan East,Plague,,1669
22,1669-22-recto,18,May,25,May,St Edmund Lumbardstr.,Buried,,1669
22,1669-22-recto,18,May,25,May,St Edmund Lumbardstr.,Plague,,1669
22,1669-22-recto,18,May,25,May,St Ethelborough,Buried,,1669
22,1669-22-recto,18,May,25,May,St Ethelborough,Plague,,1669
22,1669-22-recto,18,May,25,May,St Faith,Buried,,1669
22,1669-22-recto,18,May,25,May,St Faith,Plague,,1669
22,1669-22-recto,18,May,25,May,St Foster,Buried,,1669
22,1669-22-recto,18,May,25,May,St Foster,Plague,,1669
22,1669-22-recto,18,May,25,May,St Gabriel Fenchurch,Buried,,1669
22,1669-22-recto,18,May,25,May,St Gabriel Fenchurch,Plague,,1669
22,1669-22-recto,18,May,25,May,St George Botolphlane,Buried,,1669
22,1669-22-recto,18,May,25,May,St George Botolphlane,Plague,,1669
22,1669-22-recto,18,May,25,May,St Gregory by St Pauls,Buried,,1669
22,1669-22-recto,18,May,25,May,St Gregory by St Pauls,Plague,,1669
22,1669-22-recto,18,May,25,May,St Hellen,Buried,1,1669
22,1669-22-recto,18,May,25,May,St Hellen,Plague,,1669
22,1669-22-recto,18,May,25,May,St James Dukes place,Buried,,1669
22,1669-22-recto,18,May,25,May,St James Dukes place,Plague,,1669
22,1669-22-recto,18,May,25,May,St James Garlickhithe,Buried,,1669
22,1669-22-recto,18,May,25,May,St James Garlickhithe,Plague,,1669
22,1669-22-recto,18,May,25,May,St John Baptist,Buried,,1669
22,1669-22-recto,18,May,25,May,St John Baptist,Plague,,1669
22,1669-22-recto,18,May,25,May,St John Evangelist,Buried,,1669
22,1669-22-recto,18,May,25,May,St John Evangelist,Plague,,1669
22,1669-22-recto,18,May,25,May,St John Zachary,Buried,,1669
22,1669-22-recto,18,May,25,May,St John Zachary,Plague,,1669
22,1669-22-recto,18,May,25,May,St Katharine Coleman,Buried,2,1669
22,1669-22-recto,18,May,25,May,St Katharine Coleman,Plague,,1669
22,1669-22-recto,18,May,25,May,St Katharine Creechurch,Buried,1,1669
22,1669-22-recto,18,May,25,May,St Katharine Creechurch,Plague,,1669
22,1669-22-recto,18,May,25,May,St Lawrence Jewry,Buried,1,1669
22,1669-22-recto,18,May,25,May,St Lawrence Jewry,Plague,,1669
22,1669-22-recto,18,May,25,May,St Lawrence Pountney,Buried,,1669
22,1669-22-recto,18,May,25,May,St Lawrence Pountney,Plague,,1669
22,1669-22-recto,18,May,25,May,St Leonard Eastcheap,Buried,,1669
22,1669-22-recto,18,May,25,May,St Leonard Eastcheap,Plague,,1669
22,1669-22-recto,18,May,25,May,St Leonard Fosterlane,Buried,,1669
22,1669-22-recto,18,May,25,May,St Leonard Fosterlane,Plague,,1669
22,1669-22-recto,18,May,25,May,St Magnus Parish,Buried,,1669
22,1669-22-recto,18,May,25,May,St Magnus Parish,Plague,,1669
22,1669-22-recto,18,May,25,May,St Margaret Lothbury,Buried,,1669
22,1669-22-recto,18,May,25,May,St Margaret Lothbury,Plague,,1669
22,1669-22-recto,18,May,25,May,St Margaret Moses,Buried,,1669
22,1669-22-recto,18,May,25,May,St Margaret Moses,Plague,,1669
