count_type,count,parish_id,id,week_id,year_range,year_id,split_year
Buried,,71,361,1668-1669-22,1668-1669,1669,1668/1669
Plague,,71,362,1668-1669-22,1668-1669,1669,1668/1669
Buried,,72,363,1668-1669-22,1668-1669,1669,1668/1669
Plague,,72,364,1668-1669-22,1668-1669,1669,1668/1669
Buried,,73,365,1668-1669-22,1668-1669,1669,1668/1669
Plague,,73,366,1668-1669-22,1668-1669,1669,1668/1669
Buried,,74,367,1668-1669-22,1668-1669,1669,1668/1669
Plague,,74,368,1668-1669-22,1668-1669,1669,1668/1669
Buried,,75,369,1668-1669-22,1668-1669,1669,1668/1669
Plague,,75,370,1668-1669-22,1668-1669,1669,1668/1669
Buried,2,83,371,1668-1669-22,1668-1669,1669,1668/1669
Plague,,83,372,1668-1669-22,1668-1669,1669,1668/1669
Buried,1,84,373,1668-1669-22,1668-1669,1669,1668/1669
Plague,,84,374,1668-1669-22,1668-1669,1669,1668/1669
Buried,,85,375,1668-1669-22,1668-1669,1669,1668/1669
Plague,,85,376,1668-1669-22,1668-1669,1669,1668/1669
Buried,,90,377,1668-1669-22,1668-1669,1669,1668/1669
Plague,,90,378,1668-1669-22,1668-1669,1669,1668/1669
Buried,,86,379,1668-1669-22,1668-1669,1669,1668/1669
Plague,,86,380,1668-1669-22,1668-1669,1669,1668/1669
Buried,,87,381,1668-1669-22,1668-1669,1669,1668/1669
Plague,,87,382,1668-1669-22,1668-1669,1669,1668/1669
Buried,,88,383,1668-1669-22,1668-1669,1669,1668/1669
Plague,,88,384,1668-1669-22,1668-1669,1669,1668/1669
Buried,,91,385,1668-1669-22,1668-1669,1669,1668/1669
Plague,,91,386,1668-1669-22,1668-1669,1669,1668/1669
Buried,,94,387,1668-1669-22,1668-1669,1669,1668/1669
Plague,,94,388,1668-1669-22,1668-1669,1669,1668/1669
Buried,,95,389,1668-1669-22,1668-1669,1669,1668/1669
Plague,,95,390,1668-1669-22,1668-1669,1669,1668/1669
Buried,,97,391,1668-1669-22,1668-1669,1669,1668/1669
Plague,,97,392,1668-1669-22,1668-1669,1669,1668/1669
Buried,,98,393,1668-1669-22,1668-1669,1669,1668/1669
Plague,,98,394,1668-1669-22,1668-1669,1669,1668/1669
Buried,,78,395,1668-1669-22,1668-1669,1669,1668/1669
Plague,,78,396,1668-1669-22,1668-1669,1669,1668/1669
Buried,,79,397,1668-1669-22,1668-1669,1669,1668/1669
Plague,,79,398,1668-1669-22,1668-1669,1669,1668/1669
Buried,,80,399,1668-1669-22,1668-1669,1669,1668/1669
Plague,,80,400,1668-1669-22,1668-1669,1669,1668/1669
Buried,,81,401,1668-1669-22,1668-1669,1669,1668/1669
Plague,,81,402,1668-1669-22,1668-1669,1669,1668/1669
Buried,,82,403,1668-1669-22,1668-1669,1669,1668/1669
Plague,,82,404,1668-1669-22,1668-1669,1669,1668/1669
Buried,,99,405,1668-1669-22,1668-1669,1669,1668/1669
Plague,,99,406,1668-1669-22,1668-1669,1669,1668/1669
Buried,,100,407,1668-1669-22,1668-1669,1669,1668/1669
Plague,,100,408,1668-1669-22,1668-1669,1669,1668/1669
Buried,,101,409,1668-1669-22,1668-1669,1669,1668/1669
Plague,,101,410,1668-1669-22,1668-1669,1669,1668/1669
Buried,,102,411,1668-1669-22,1668-1669,1669,1668/1669
Plague,,102,412,1668-1669-22,1668-1669,1669,1668/1669
Buried,,103,413,1668-1669-22,1668-1669,1669,1668/1669
Plague,,103,414,1668-1669-22,1668-1669,1669,1668/1669
Buried,,104,415,1668-1669-22,1668-1669,1669,1668/1669
Plague,,104,416,1668-1669-22,1668-1669,1669,1668/1669
Buried,,105,417,1668-1669-22,1668-1669,1669,1668/1669
Plague,,105,418,1668-1669-22,1668-1669,1669,1668/1669
Buried,,106,419,1668-1669-22,1668-1669,1669,1668/1669
Plague,,106,420,1668-1669-22,1668-1669,1669,1668/1669
Buried,,107,421,1668-1669-22,1668-1669,1669,1668/1669
Plague,,107,422,1668-1669-22,1668-1669,1669,1668/1669
Buried,,108,423,1668-1669-22,1668-1669,1669,1668/1669
Plague,,108,424,1668-1669-22,1668-1669,1669,1668/1669
Buried,,109,425,1668-1669-22,1668-1669,1669,1668/1669
Plague,,109,426,1668-1669-22,1668-1669,1669,1668/1669
Buried,,110,427,1668-1669-22,1668-1669,1669,1668/1669
Plague,,110,428,1668-1669-22,1668-1669,1669,1668/1669
Buried,,111,429,1668-1669-22,1668-1669,1669,1668/1669
Plague,,111,430,1668-1669-22,1668-1669,1669,1668/1669
