count,count_type,bill_type,parish_id,year,week_id,year_range,split_year
589,Total,General,21,1682,1681-1682-90,1681-1682,1681/1682
599,Total,General,20,1682,1681-1682-90,1681-1682,1681/1682
69,Total,General,143,1682,1681-1682-90,1681-1682,1681/1682
31,Total,General,153,1682,1681-1682-90,1681-1682,1681/1682
0,Total,General,18,1682,1681-1682-90,1681-1682,1681/1682
,Total,General,11,1682,1681-1682-90,1681-1682,1681/1682
168,Total,General,12,1682,1681-1682-90,1681-1682,1681/1682
1181,Total,General,61,1682,1681-1682-90,1681-1682,1681/1682
74,Total,General,13,1682,1681-1682-90,1681-1682,1681/1682
,Total,General,68,1682,1681-1682-90,1681-1682,1681/1682
348,Total,General,64,1682,1681-1682-90,1681-1682,1681/1682
202,Total,General,75,1682,1681-1682-90,1681-1682,1681/1682
325,Total,General,14,1682,1681-1682-90,1681-1682,1681/1682
442,Total,General,80,1682,1681-1682-90,1681-1682,1681/1682
433,Total,General,81,1682,1681-1682-90,1681-1682,1681/1682
,Total,General,111,1682,1681-1682-90,1681-1682,1681/1682
115,Total,General,100,1682,1681-1682-90,1681-1682,1681/1682
204,Total,General,104,1682,1681-1682-90,1681-1682,1681/1682
866,Total,General,108,1682,1681-1682-90,1681-1682,1681/1682
463,Total,General,134,1682,1681-1682-90,1681-1682,1681/1682
162,Total,General,19,1682,1681-1682-90,1681-1682,1681/1682
1843,Total,General,149,1682,1681-1682-90,1681-1682,1681/1682
,Total,General,30,1682,1681-1682-90,1681-1682,1681/1682
509,Total,General,46,1682,1681-1682-90,1681-1682,1681/1682
,Total,General,67,1682,1681-1682-90,1681-1682,1681/1682
188,Total,General,133,1682,1681-1682-90,1681-1682,1681/1682
2340,Total,General,88,1682,1681-1682-90,1681-1682,1681/1682
123,Total,General,105,1682,1681-1682-90,1681-1682,1681/1682
,Total,General,102,1682,1681-1682-90,1681-1682,1681/1682
887,Total,General,87,1682,1681-1682-90,1681-1682,1681/1682
0,Total,General,17,1682,1681-1682-90,1681-1682,1681/1682
41,Total,General,22,1683,1682-1683-90,1682-1683,1682/1683
109,Total,General,1,1683,1682-1683-90,1682-1683,1682/1683
21,Total,General,2,1683,1682-1683-90,1682-1683,1682/1683
77,Total,General,3,1683,1682-1683-90,1682-1683,1682/1683
0,Total,General,4,1683,1682-1683-90,1682-1683,1682/1683
26,Total,General,5,1683,1682-1683-90,1682-1683,1682/1683
29,Total,General,6,1683,1682-1683-90,1682-1683,1682/1683
38,Total,General,7,1683,1682-1683-90,1682-1683,1682/1683
69,Total,General,8,1683,1682-1683-90,1682-1683,1682/1683
36,Total,General,23,1683,1682-1683-90,1682-1683,1682/1683
22,Total,General,25,1683,1682-1683-90,1682-1683,1682/1683
68,Total,General,26,1683,1682-1683-90,1682-1683,1682/1683
