Year,edited_cause,number,original_Year,original_cause,original_number
1666,Apoplexy & Suddenly,57,1666,apoplexie and suddenly,57
1669,Apoplexy & Suddenly,76,1669,apoplexy and suddenly,76
1670,Apoplexy & Suddenly,79,1670,apoplexy and suddenly,79
1671,Apoplexy & Suddenly,63,1671,apoplexy and suddenly,63
1672,Apoplexy & Suddenly,65,1672,apoplexy and suddenly,65
1673,Apoplexy & Suddenly,84,1673,apoplexy and suddenly,84
1674,Apoplexy & Suddenly,101,1674,apoplexy and suddenly,101
1675,Apoplexy & Suddenly,86,1675,apoplexy and suddenly,86
1676,Apoplexy & Suddenly,84,1676,apoplexy and suddenly,84
1677,Apoplexy & Suddenly,66,1677,apoplexy and suddenly,66
1678,Apoplexy & Suddenly,83,1678,apoplexy and suddenly,83
1679,Apoplexy & Suddenly,103,1679,apoplexy and suddenly,103
1680,Apoplexy & Suddenly,95,1680,apoplexy and suddenly,95
1681,Apoplexy & Suddenly,94,1681,apoplexy and suddenly,94
1682,Apoplexy & Suddenly,100,1682,apoplexy and suddenly,100
1683,Apoplexy & Suddenly,108,1683,apoplexy and suddenly,108
1684,Apoplexy & Suddenly,152,1684,apoplexy and suddenly,152
1685,Apoplexy & Suddenly,112,1685,apoplexy and suddenly,112
1686,Apoplexy & Suddenly,129,1686,apoplexy and suddenly,129
1687,Apoplexy & Suddenly,110,1687,apoplexy and suddenly,110
1688,Apoplexy & Suddenly,119,1688,apoplexy and suddenly,119
1689,Apoplexy & Suddenly,106,1689,apoplexy and suddenly,106
1690,Apoplexy & Suddenly,106,1690,apoplexy and suddenly,106
1691,Apoplexy & Suddenly,111,1691,apoplexy and suddenly,111
1692,Apoplexy & Suddenly,104,1692,apoplexy and suddenly,104
1693,Apoplexy & Suddenly,87,1693,apoplexy and suddenly,87
1694,Apoplexy & Suddenly,89,1694,apoplexy and suddenly,89
1695,Apoplexy & Suddenly,103,1695,apoplexy and suddenly,103
1696,Apoplexy & Suddenly,109,1696,apoplexy and suddenly,109
1697,Apoplexy & Suddenly,117,1697,apoplexy and suddenly,117
1698,Apoplexy & Suddenly,116,1698,apoplexy and suddenly,116
1699,Apoplexy & Suddenly,106,1699,apoplexy and suddenly,106
1700,Apoplexy & Suddenly,104,1700,apoplexy and suddenly,104
1701,Apoplexy & Suddenly,148,1701,apoplexy and suddenly,148
1730,Apoplexy & Suddenly,238,1730,apoplexy and suddenly,238
1731,Apoplexy & Suddenly,237,1731,apoplexy and suddenly,237
1732,Apoplexy & Suddenly,237,1732,apoplexy and suddenly,237
1733,Apoplexy & Suddenly,227,1733,apoplexy and suddenly,227
1734,Apoplexy & Suddenly,182,1734,apoplexy and suddenly,182
1735,Apoplexy & Suddenly,196,1735,apoplexy and suddenly,196
1736,Apoplexy & Suddenly,208,1736,apoplexy and suddenly,208
1737,Apoplexy & Suddenly,243,1737,apoplexy and suddenly,243
1738,Apoplexy & Suddenly,201,1738,apoplexy and suddenly,201
1739,Apoplexy & Suddenly,194,1739,apoplexy and suddenly,194
1740,Apoplexy & Suddenly,228,1740,apoplexy and suddenly,228
1741,Apoplexy & Suddenly,230,1741,apoplexy and suddenly,230
1742,Apoplexy & Suddenly,235,1742,apoplexy and suddenly,235
1743,Apoplexy & Suddenly,237,1743,apoplexy and suddenly,237
1744,Apoplexy & Suddenly,205,1744,apoplexy and suddenly,205
1745,Apoplexy & Suddenly,211,1745,apoplexy and suddenly,211
1746,Apoplexy & Suddenly,253,1746,apoplexy and suddenly,253
1747,Apoplexy & Suddenly,194,1747,apoplexy and suddenly,194
1748,Apoplexy & Suddenly,222,1748,apoplexy and suddenly,222
1749,Apoplexy & Suddenly,239,1749,apoplexy and suddenly,239
1750,Apoplexy & Suddenly,227,1750,apoplexy and suddenly,227
1751,Apoplexy & Suddenly,208,1751,apoplexy and suddenly,208
1698,Asthma,1,1698,asthma,1
1701,Asthma,1,1701,asthma,1
1702,Asthma,3,1702,asthma,3
1703,Asthma,3,1703,asthma,3
1704,Asthma,11,1704,asthma,11
1705,Asthma,21,1705,asthma,21
1706,Asthma,22,1706,asthma,22
1707,Asthma,26,1707,asthma,26
1708,Asthma,15,1708,asthma,15
1709,Asthma,27,1709,asthma,27
1710,Asthma,25,1710,asthma,25
1711,Asthma,23,1711,asthma,23
1712,Asthma,27,1712,asthma,27
1713,Asthma,47,1713,asthma,47
1714,Asthma,71,1714,asthma,71
1715,Asthma,46,1715,asthma,46
1716,Asthma,57,1716,asthma,57
1717,Asthma,39,1717,asthma,39
1718,Asthma,107,1718,asthma,107
1719,Asthma,124,1719,asthma,124
1720,Asthma,86,1720,asthma,86
1721,Asthma,167,1721,asthma,167
1722,Asthma,125,1722,asthma,125
1723,Asthma,134,1723,asthma,134
1724,Asthma,153,1724,asthma,153
1725,Asthma,118,1725,asthma,118
1726,Asthma,144,1726,asthma,144
1727,Asthma,136,1727,asthma,136
1728,Asthma,156,1728,asthma,156
1729,Asthma & Tissick,657,1729,asthma and tissick,657
1730,Asthma & Tissick,403,1730,asthma and tissick,403
1731,Asthma & Tissick,469,1731,asthma and tissick,469
1732,Asthma & Tissick,573,1732,asthma and tissick,573
1733,Asthma & Tissick,896,1733,asthma and tissick,896
1734,Asthma & Tissick,466,1734,asthma and tissick,466
1735,Asthma & Tissick,477,1735,asthma and tissick,477
1736,Asthma & Tissick,582,1736,asthma and tissick,582
1737,Asthma & Tissick,620,1737,asthma and tissick,620
1738,Asthma & Tissick,656,1738,asthma and tissick,656
1739,Asthma & Tissick,638,1739,asthma and tissick,638
1740,Asthma & Tissick,1153,1740,asthma and tissick,1153
1741,Asthma & Tissick,646,1741,asthma and tissick,646
1742,Asthma & Tissick,585,1742,asthma and tissick,585
1743,Asthma & Tissick,611,1743,asthma and tissick,611
1744,Asthma & Tissick,471,1744,asthma and tissick,471
1745,Asthma & Tissick,533,1745,asthma and tissick,533
1746,Asthma & Tissick,553,1746,asthma and tissick,553
1747,Asthma & Tissick,416,1747,asthma and tissick,416
1748,Asthma & Tissick,599,1748,asthma and tissick,599
1749,Asthma & Tissick,410,1749,asthma and tissick,410
1750,Asthma & Tissick,468,1750,asthma and tissick,468
1751,Asthma & Tissick,427,1751,asthma and tissick,427
1661,Bed-ridden,3,1661,bedrid,3
1662,Bed-ridden,1,1662,bedrid,1
1663,Bed-ridden,6,1663,bedrid,6
1664,Bed-ridden,3,1664,bedrid,3
1665,Bed-ridden,10,1665,bedrid,10
1667,Bed-ridden,4,1667,bedridden,4
1668,Bed-ridden,4,1668,bedridden,4
1702,Bed-ridden,5,1702,bedridden,5
1703,Bed-ridden,3,1703,bedridden,3
1704,Bed-ridden,8,1704,bedridden,8
1705,Bed-ridden,5,1705,bedridden,5
1706,Bed-ridden,1,1706,bedridden,1
1707,Bed-ridden,6,1707,beridden,6
1710,Bed-ridden,2,1710,bedridden,2
1711,Bed-ridden,1,1711,bedridden,1
1712,Bed-ridden,2,1712,bedridden,2
1713,Bed-ridden,2,1713,bedridden,2
1714,Bed-ridden,3,1714,bedridden,3
1715,Bed-ridden,5,1715,bedridden,5
1716,Bed-ridden,8,1716,bedridden,8
1717,Bed-ridden,3,1717,bedridden,3
1718,Bed-ridden,9,1718,bedridden,9
1719,Bed-ridden,14,1719,bedridden,14
1720,Bed-ridden,3,1720,bedridden,3
1721,Bed-ridden,5,1721,bedridden,5
1722,Bed-ridden,6,1722,bedridden,6
1723,Bed-ridden,3,1723,bedridden,3
1724,Bed-ridden,9,1724,bedridden,9
1725,Bed-ridden,9,1725,bedridden,9
1726,Bed-ridden,3,1726,bedridden,3
1727,Bed-ridden,7,1727,bedridden,7
1728,Bed-ridden,14,1728,bedridden,14
1729,Bed-ridden,8,1729,bedridden,8
1730,Bed-ridden,9,1730,bedridden,9
1731,Bed-ridden,2,1731,bedridden,2
1732,Bed-ridden,3,1732,bedridden,3
1733,Bed-ridden,10,1733,bedridden,10
1734,Bed-ridden,5,1734,bedridden,5
1735,Bed-ridden,10,1735,bedridden,10
1736,Bed-ridden,13,1736,bedridden,13
1737,Bed-ridden,12,1737,bedridden,12
1738,Bed-ridden,5,1738,bedridden,5
1739,Bed-ridden,8,1739,bedridden,8
1740,Bed-ridden,23,1740,bedridden,23
1741,Bed-ridden,17,1741,bedridden,17
1742,Bed-ridden,8,1742,bedridden,8
1743,Bed-ridden,5,1743,bedridden,5
1744,Bed-ridden,3,1744,bedridden,3
1745,Bed-ridden,7,1745,bedridden,7
1746,Bed-ridden,5,1746,bedridden,5
1747,Bed-ridden,2,1747,bedridden,2
1748,Bed-ridden,2,1748,bedridden,2
1749,Bed-ridden,2,1749,bedridden,2
1750,Bed-ridden,2,1750,bedridden,2
1751,Bed-ridden,2,1751,bedridden,2
1664,Blasted,1,1664,blasted,1
