ageID|weekID|agegroup|ageyearmin|ageyearmax|agen
751|1729/51|under 2|0|1|196
752|1729/51|2-5|2|4|45
753|1729/51|5-10|5|9|25
754|1729/51|10-20|10|19|16
755|1729/51|20-30|20|29|46
756|1729/51|30-40|30|39|56
757|1729/51|40-50|40|49|55
758|1729/51|50-60|50|59|44
759|1729/51|60-70|60|69|53
760|1729/51|70-80|70|79|27
761|1729/51|80-90|80|89|16
762|1729/51|90 upwards|90|120|2
766|1729/52|under 2|0|1|244
767|1729/52|2-5|2|4|61
768|1729/52|5-10|5|9|25
769|1729/52|10-20|10|19|22
770|1729/52|20-30|20|29|52
771|1729/52|30-40|30|39|46
772|1729/52|40-50|40|49|81
773|1729/52|50-60|50|59|64
774|1729/52|60-70|60|69|60
775|1729/52|70-80|70|79|48
776|1729/52|80-90|80|89|28
777|1729/52|90 upwards|90|120|3
796|1730/01|under 2|0|1|282
797|1730/01|2-5|2|4|55
798|1730/01|5-10|5|9|34
799|1730/01|10-20|10|19|25
800|1730/01|20-30|20|29|49
801|1730/01|30-40|30|39|54
802|1730/01|40-50|40|49|55
803|1730/01|50-60|50|59|52
804|1730/01|60-70|60|69|48
805|1730/01|70-80|70|79|30
806|1730/01|80-90|80|89|17
807|1730/01|90-100|90|99|6
808|1730/01|100 upwards|100|120|0
811|1730/02|under 2|0|1|250
812|1730/02|2-5|2|4|63
813|1730/02|5-10|5|9|28
814|1730/02|10-20|10|19|25
815|1730/02|20-30|20|29|50
816|1730/02|30-40|30|39|64
817|1730/02|40-50|40|49|63
818|1730/02|50-60|50|59|56
819|1730/02|60-70|60|69|53
820|1730/02|70-80|70|79|36
821|1730/02|80-90|80|89|20
822|1730/02|90-100|90|99|2
823|1730/02|100 upwards|100|120|0
826|1730/03|under 2|0|1|240
827|1730/03|2-5|2|4|46
828|1730/03|5-10|5|9|23
829|1730/03|10-20|10|19|24
830|1730/03|20-30|20|29|48
831|1730/03|30-40|30|39|59
832|1730/03|40-50|40|49|56
833|1730/03|50-60|50|59|34
834|1730/03|60-70|60|69|40
835|1730/03|70-80|70|79|38
836|1730/03|80-90|80|89|15
837|1730/03|90-100|90|99|3
838|1730/03|100 upwards|100|120|2
841|1730/04|under 2|0|1|185
842|1730/04|2-5|2|4|53
843|1730/04|5-10|5|9|11
844|1730/04|10-20|10|19|18
845|1730/04|20-30|20|29|44
846|1730/04|30-40|30|39|44
847|1730/04|40-50|40|49|65
848|1730/04|50-60|50|59|44
849|1730/04|60-70|60|69|31
850|1730/04|70-80|70|79|30
851|1730/04|80-90|80|89|17
852|1730/04|90-100|90|99|2
853|1730/04|100 upwards|100|120|0
856|1730/05|under 2|0|1|191
857|1730/05|2-5|2|4|50
858|1730/05|5-10|5|9|19
859|1730/05|10-20|10|19|14
860|1730/05|20-30|20|29|54
861|1730/05|30-40|30|39|55
862|1730/05|40-50|40|49|65
863|1730/05|50-60|50|59|47
864|1730/05|60-70|60|69|50
865|1730/05|70-80|70|79|35
866|1730/05|80-90|80|89|19
867|1730/05|90-100|90|99|2
868|1730/05|100 upwards|100|120|0
871|1730/06|under 2|0|1|204
872|1730/06|2-5|2|4|42
873|1730/06|5-10|5|9|16
874|1730/06|10-20|10|19|22
875|1730/06|20-30|20|29|44
876|1730/06|30-40|30|39|50
877|1730/06|40-50|40|49|53
878|1730/06|50-60|50|59|38
879|1730/06|60-70|60|69|40
880|1730/06|70-80|70|79|32
881|1730/06|80-90|80|89|24
