weekID|yeartext|year|week|begindate|countsmissing|codmissing|breadmissing|agemissing|countsproblem|codproblem|breadproblem|ageproblem
1649/13|1648-49|1649|13||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/14|1648-49|1649|14||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/15|1648-49|1649|15|20-mar-1648|0|0|0|1||||not yet stated
1649/16|1648-49|1649|16|27-mar-1649|0|0|0|1||||not yet stated
1649/17|1648-49|1649|17|03-apr-1649|0|0|0|1||||not yet stated
1649/18|1648-49|1649|18|10-apr-1649|0|0|0|1||||not yet stated
1649/19|1648-49|1649|19|17-apr-1649|0|0|0|1||||not yet stated
1649/20|1648-49|1649|20|24-apr-1649|0|0|0|1||||not yet stated
1649/21|1648-49|1649|21|01-may-1649|0|0|0|1||||not yet stated
1649/22|1648-49|1649|22|08-may-1649|0|0|0|1||||not yet stated
1649/23|1648-49|1649|23|15-may-1649|0|0|0|1||||not yet stated
1649/24|1648-49|1649|24|22-may-1649|0|0|0|1||||not yet stated
1649/25|1648-49|1649|25|29-may-1649|0|0|0|1||||not yet stated
1649/26|1648-49|1649|26|05-jun-1649|0|0|0|1||||not yet stated
1649/27|1648-49|1649|27|12-jun-1649|0|0|0|1||||not yet stated
1649/28|1648-49|1649|28|19-jun-1649|0|0|0|1||||not yet stated
1649/29|1648-49|1649|29||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/30|1648-49|1649|30|03-jul-1649|0|0|0|1||||not yet stated
1649/31|1648-49|1649|31|10-jul-1649|0|0|0|1||||not yet stated
1649/32|1648-49|1649|32|17-jul-1649|0|0|0|1||||not yet stated
1649/33|1648-49|1649|33|24-jul-1649|0|0|0|1||||not yet stated
1649/34|1648-49|1649|34||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/35|1648-49|1649|35||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/36|1648-49|1649|36||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/37|1648-49|1649|37||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/38|1648-49|1649|38||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/39|1648-49|1649|39||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/40|1648-49|1649|40||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/41|1648-49|1649|41||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/42|1648-49|1649|42||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/43|1648-49|1649|43||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/44|1648-49|1649|44||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/45|1648-49|1649|45||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/46|1648-49|1649|46||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/47|1648-49|1649|47||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/48|1648-49|1649|48||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/49|1648-49|1649|49||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/50|1648-49|1649|50||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/51|1648-49|1649|51||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1649/52|1648-49|1649|52||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1650/01|1649-50|1650|1||1|1|1|1|no Bill|no Bill|no Bill|no Bill
1650/02|1649-50|1650|2|18-dec-1649|0|0|0|1||||not yet stated
1650/03|1649-50|1650|3|25-dec-1649|0|0|0|1||||not yet stated
1650/04|1649-50|1650|4|01-jan-1649|0|0|0|1||||not yet stated
1650/05|1649-50|1650|5|08-jan-1649|0|0|0|1||||not yet stated
1650/06|1649-50|1650|6|15-jan-1649|0|0|0|1||||not yet stated
1650/07|1649-50|1650|7|22-feb-1649|0|0|0|1||||not yet stated
1650/08|1649-50|1650|8|29-jan-1649|0|0|0|1||||not yet stated
1650/09|1649-50|1650|9|05-feb-1649|0|0|0|1||||not yet stated
1650/10|1649-50|1650|10|12-feb-1649|0|0|0|1||||not yet stated
1650/11|1649-50|1650|11|19-feb-1649|0|0|0|1||||not yet stated
1650/12|1649-50|1650|12|26-feb-1649|0|0|0|1||||not yet stated
1650/13|1649-50|1650|13|05-mar-1649|0|0|0|1||||not yet stated
1650/14|1649-50|1650|14|12-mar-1649|0|0|0|1||||not yet stated
